datahora,dia,mes,ano,date,time,bt,mt,at,mat,total
2023-07-15T13:15:00+00:00,15,07,2023,2023-07-15,14:15,677178.182591,367742.3876,197079.1479,54375.7912,1296375.5092910002
2023-07-17T17:15:00+00:00,17,07,2023,2023-07-17,18:15,742177.385555,579592.5856,213536.8041,55326.9669,1590633.742155
2023-07-20T08:30:00+00:00,20,07,2023,2023-07-20,09:30,700455.760391,654275.9109,199666.3937,38184.9312,1592582.9961909999
2023-07-20T13:30:00+00:00,20,07,2023,2023-07-20,14:30,725831.200386,613617.6832,193601.9777,62124.149,1595175.0102859999
2023-07-20T13:45:00+00:00,20,07,2023,2023-07-20,14:45,722524.675241,616510.2729,193850.0928,59888.2073,1592773.2482409999
2023-07-21T08:15:00+00:00,21,07,2023,2023-07-21,09:15,699648.341367,643208.8873,208787.962,36259.0634,1587904.254067
2023-07-21T20:30:00+00:00,21,07,2023,2023-07-21,21:30,846374.642565,526929.0028,216853.504,51846.8663,1642004.015665
2023-07-22T21:30:00+00:00,22,07,2023,2023-07-22,22:30,781626.53759,362442.417,186453.231,46347.5693,1376869.75489
2023-07-23T04:00:00+00:00,23,07,2023,2023-07-23,05:00,490926.092067,300359.4408,183868.1853,51930.784,1027084.502167
2023-07-23T23:30:00+00:00,24,07,2023,2023-07-24,00:30,617722.091981,346022.4551,198325.728,54116.7348,1216187.009881
2023-07-25T15:00:00+00:00,25,07,2023,2023-07-25,16:00,671904.896218,598079.5394,197763.208,59598.1147,1527345.7583180002
2023-07-28T03:30:00+00:00,28,07,2023,2023-07-28,04:30,490778.989783,417316.0286,208152.2445,50864.4898,1167111.7526830002
2023-07-28T11:00:00+00:00,28,07,2023,2023-07-28,12:00,773098.676597,595335.1742,200443.6163,45612.0298,1614489.4968969997
2023-07-29T03:00:00+00:00,29,07,2023,2023-07-29,04:00,518175.569729,386287.2532,200092.8265,57578.5948,1162134.244229
2023-07-29T04:15:00+00:00,29,07,2023,2023-07-29,05:15,512849.534553,382218.0652,198397.2747,56884.6172,1150349.491653
2023-08-03T06:15:00+00:00,03,08,2023,2023-08-03,07:15,534013.267501,475523.6792,200538.2589,35914.7998,1245990.005401
2023-08-04T22:30:00+00:00,04,08,2023,2023-08-04,23:30,740236.890823,417798.3765,184846.9594,81774.7693,1424656.996023
2023-08-06T23:45:00+00:00,07,08,2023,2023-08-07,00:45,680265.818976,346492.9621,181906.077,87032.394,1295697.252076
2023-08-07T10:30:00+00:00,07,08,2023,2023-08-07,11:30,824336.121785,575312.753,167342.2886,35850.5917,1602841.755085
2023-08-08T14:30:00+00:00,08,08,2023,2023-08-08,15:30,849497.604952,597965.9196,186943.9641,38919.5127,1673327.001352
2023-08-14T06:00:00+00:00,14,08,2023,2023-08-14,07:00,495851.259649,348284.7053,178196.3175,36051.4613,1058383.743749
2023-08-14T12:15:00+00:00,14,08,2023,2023-08-14,13:15,727667.842097,414013.3734,168009.7081,34201.8348,1343892.758397
2023-08-15T07:15:00+00:00,15,08,2023,2023-08-15,08:15,540805.46798,340158.6244,167233.5189,33697.645,1081895.2562799999
2023-08-15T22:45:00+00:00,15,08,2023,2023-08-15,23:45,692105.646478,332844.8227,166574.9241,56602.3605,1248127.753778
2023-08-16T12:00:00+00:00,16,08,2023,2023-08-16,13:00,750312.626917,444825.8322,152991.4665,42093.8261,1390223.751717
2023-08-18T00:45:00+00:00,18,08,2023,2023-08-18,01:45,572392.890349,370997.5027,163494.4972,36207.8583,1143092.7485490001
2023-08-18T17:00:00+00:00,18,08,2023,2023-08-18,18:00,756521.563096,492363.3907,172171.7081,62321.0882,1483377.7500959998
2023-08-19T02:15:00+00:00,19,08,2023,2023-08-19,03:15,547443.491279,343352.5503,166605.0448,34123.1723,1091524.258679
2023-08-19T10:30:00+00:00,19,08,2023,2023-08-19,11:30,761233.341887,388506.8943,162841.8377,63216.4267,1375798.500587
2023-08-20T00:15:00+00:00,20,08,2023,2023-08-20,01:15,633715.341236,326672.4242,167714.2559,34395.9827,1162498.004036
2023-08-20T15:45:00+00:00,20,08,2023,2023-08-20,16:45,664522.810591,355584.828,161909.5727,54557.2833,1236574.494591
2023-08-21T14:15:00+00:00,21,08,2023,2023-08-21,15:15,811712.700833,561574.3708,173888.5938,63450.8297,1610626.495133
2023-08-23T07:30:00+00:00,23,08,2023,2023-08-23,08:30,673703.005226,540336.6647,184718.0971,67419.9873,1466177.7543259996
2023-08-25T15:15:00+00:00,25,08,2023,2023-08-25,16:15,785512.630122,548585.0856,188067.8238,51047.2128,1573212.7523220002
2023-08-27T14:15:00+00:00,27,08,2023,2023-08-27,15:15,586215.937157,311153.8255,167716.3685,73373.8719,1138460.003057
2023-08-28T00:45:00+00:00,28,08,2023,2023-08-28,01:45,530699.810027,324211.4039,180826.4273,92838.3558,1128575.997027
2023-08-31T05:00:00+00:00,31,08,2023,2023-08-31,06:00,489734.265725,412933.9229,200067.7031,79379.6153,1182115.507025
2023-09-04T03:30:00+00:00,04,09,2023,2023-09-04,04:30,458935.082781,321498.5607,184906.004,82276.8444,1047616.4918809999
